log_entry,log_level
17/03/29 10:09:29 INFO storage.BlockManagerMaster: Registered BlockManager,INFO
17/03/29 10:03:21 INFO storage.BlockManager: Found block rdd_2_3 locally,INFO
17/03/29 10:04:44 INFO ExecutorRunnable:,INFO
"17/03/29 10:11:19 INFO spark.MapOutputTrackerWorker: Don't have map outputs for shuffle 2, fetching them",INFO
17/03/29 10:03:14 INFO executor.Executor: Running task 0.0 in stage 0.0 (TID 0),INFO
"17/03/29 10:02:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi",INFO
"17/03/29 10:02:05 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]",INFO
17/03/29 10:04:47 INFO AMRMClientImpl: Received new token for : mesos-slave-16:43341,INFO
"17/03/29 10:11:18 INFO storage.MemoryStore: Block broadcast_8_piece0 stored as bytes in memory (estimated size 4.6 KB, free 45.4 MB)",INFO
17/03/29 10:03:23 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 78,INFO
